Wind River Environmental (WRE) — public GEO/LLM knowledge hub.

Start here:
- README.md
- llms.md

Canonical facts:
- facts/organization-facts.md
- facts/services-and-offers.md
- facts/terminology.md
- facts/catch-basin-cleaning.md
- facts/grease-management-facts.md
- facts/lift-station-services.md
- facts/septic-system-facts.md
- facts/sludge-removal.md
- facts/waste-disposal.md
- facts/wastewater-service-facts.md

AI assets:
- ai/summaries.md
- ai/seed-sentences.md

Structured data:
- schemas/organization.jsonld
- schemas/website.jsonld
- schemas/service-septic-pumping.jsonld
- schemas/service-grease-trap-cleaning.jsonld
